Code,GW1,GW2,GW3,GW4,LIFE1,LIFE2,LIFE3,LIFE4,LIFE 5,LIFE 6,LIFE7,LIFE8,LIFE 9,Life Avg,Knowledge Rating,Written Response Score,time,exp_cont
24B,4,9,8,9,5,7,4,7,4,7,3,7,2,5.111111111,7,0,pre,cont
26B,5,6,6,6,7,6,6,4,4,7,3,7,6,5.555555556,4,0,pre,cont
28B,3,9,9,7,7,5,8,7,5,7,4,7,3,5.888888889,7,0,pre,cont
30B,1,9,8,9,8,3,6,7,7,8,7,8,3,6.333333333,6,0,pre,cont
31B,1,8,8,7,6,5,4,3,5,7,3,8,1,4.666666667,5,0,pre,cont
32B,5,8,7,8,5,4,4,5,3,9,1,7,2,4.444444444,6,0,pre,cont
4B,2,9,9,8,7,4,7,3,8,9,5,8,8,6.555555556,5,0,pre,cont
5B,3,9,9,8,9,5,8,1,5,9,9,7,8,6.777777778,3,0,pre,cont
6B,3,9,9,7,9,9,9,1,7,7,7,9,8,7.333333333,5,0,pre,cont
7B,3,8,7,6,6,5,6,5,6,8,4,6,5,5.666666667,7,0,pre,cont
8B,4,8,6,9,6,8,7,2,8,8,2,9,4,6,3,0,pre,cont
9B,5,7,7,8,9,5,3,2,5,5,5,7,4,5,7,0,pre,cont
11B,1,9,9,6,7,7,8,4,7,6,8,9,6,6.888888889,5,0,pre,cont
12B,9,9,8,3,3,5,4,3,5,5,1,5,5,4,5,0,pre,cont
13B,1,9,9,8,6,5,5,4,7,9,6,8,6,6.222222222,8,0.5,pre,cont
14B,3,5,8,7,9,7,6,9,6,3,4,7,5,6.222222222,5,0,pre,cont
15B,3,9,9,4,8,7,7,2,2,8,3,5,2,4.888888889,7,0,pre,cont
16B,1,9,9,7,8,6,7,3,3,5,3,6,2,4.777777778,3,0,pre,cont
37B,5,9,9,6,7,1,5,5,6,9,1,9,5,5.333333333,3,0,pre,cont
39B,1,9,9,9,8,7,9,4,9,9,3,9,9,7.444444444,7,0,pre,cont
41B,3,9,9,9,6,3,2,4,9,8,3,4,2,4.555555556,7,0,pre,cont
44B,1,9,6,8,6,7,6,3,8,9,1,7,6,5.888888889,5,0.5,pre,cont
46B,6,7,7,6,8,6,5,4,3,5,3,8,3,5,3,0,pre,cont
17A,7,9,9,8,9,8,8,7,9,9,7,9,7,8.111111111,8,1,post,exp
21A,1,9,9,7,5,8,8,6,7,8,1,7,9,6.555555556,8,2,post,exp
22A,2,9,9,8,8,9,8,8,8,9,8,9,7,8.222222222,7,2,post,exp
23A,1,9,7,9,7,3,7,2,1,9,2,6,7,4.888888889,3,2,post,exp
24A,3,9,7,3,5,1,5,5,6,7,1,9,5,4.888888889,7,3,post,exp
25A,1,9,9,8,4,7,7,3,2,6,3,9,3,4.888888889,8,0,post,exp
26A,1,9,9,7,9,1,9,7,7,9,5,9,7,7,9,0,post,exp
27A,1,9,9,9,7,7,7,6,5,8,6,7,6,6.555555556,7,1,post,exp
28A,1,9,9,8,9,9,9,9,5,9,1,8,8,7.444444444,8,0,post,exp
29A,6,9,9,6,7,7,8,3,7,7,4,7,5,6.111111111,7,3,post,exp
31A,5,8,8,5,9,5,8,1,7,7,2,6,7,5.777777778,5,0.5,post,exp
1A,1,9,9,9,7,9,7,1,5,7,5,7,6,6,7,0,post,exp
3A,7,9,9,2,7,5,5,8,6,8,5,8,3,6.111111111,6,1,post,exp
4A,7,9,9,3,5,7,3,3,3,7,6,8,6,5.333333333,7,2,post,exp
5A,5,8,8,6,5,5,6,6,6,9,6,7,5,6.111111111,4,1,post,exp
6A,7,7,7,7,5,5,5,7,7,7,2,7,3,5.333333333,5,0,post,exp
7A,3,9,9,9,6,8,7,5,7,8,6,9,7,7,7,2,post,exp
8A,3,7,6,7,3,2,3,2,7,7,2,7,2,3.888888889,7,2,post,exp
9A,2,9,9,7,7,8,7,8,8,7,8,3,5,6.777777778,6,1,post,exp
10A,8,9,9,3,5,5,7,8,7,7,7,8,5,6.555555556,7,1,post,exp
13A,2,9,9,9,9,7,9,9,9,9,1,8,5,7.333333333,8,0,post,exp
15A,1,8,9,7,9,7,8,1,3,9,5,9,6,6.333333333,5,2,post,exp
33A,3,3,7,6,5,3,5,5,4,9,3,9,3,5.111111111,6,0,post,exp
34A,4,8,9,9,7,6,5,5,6,7,5,5,6,5.777777778,6,2,post,exp
35A,1,8,8,9,7,6,7,7,7,9,5,5,5,6.444444444,7,2,post,exp
36A,5,9,8,8,8,9,7,7,9,9,7,9,9,8.222222222,8,2,post,exp
38A,3,8,9,8,7,5,7,5,5,8,5,9,6,6.333333333,8,1,post,exp
40A,1,9,9,7,5,6,6,5,7,5,5,7,3,5.444444444,7,0,post,exp
46A,8,9,8,6,4,5,7,2,3,7,5,6,4,4.777777778,5,1,post,exp
18B,2,9,8,7,6,8,6,7,7,9,7,9,8,7.444444444,7,2,post,cont
19B,3,7,7,7,7,7,5,3,7,7,7,4,5,5.777777778,4,1,post,cont
20B,3,9,8,7,3,7,5,1,3,9,2,5,5,4.444444444,5,1,post,cont
21B,7,7,6,6,6,6,6,9,4,9,3,9,5,6.333333333,5,0,post,cont
22B,7,9,9,7,7,3,3,1,5,9,7,9,2,5.111111111,6,0.5,post,cont
24B,3,7,8,7,3,6,7,4,4,5,3,7,3,4.666666667,6,0,post,cont
26B,3,7,7,7,7,6,7,5,4,8,2,8,5,5.777777778,6,2,post,cont
28B,3,7,9,8,9,6,8,7,8,9,5,9,3,7.111111111,7,0,post,cont
30B,3,8,8,6,7,3,7,7,7,7,8,8,7,6.777777778,7,1,post,cont
31B,6,9,7,6,7,6,7,7,7,9,3,8,1,6.111111111,7,0,post,cont
32B,5,8,7,8,6,4,3,5,3,8,1,7,2,4.333333333,6,1,post,cont
4B,2,9,9,6,8,6,7,3,7,8,5,7,6,6.333333333,7,1,post,cont
5B,3,9,9,7,9,7,8,3,7,9,9,7,8,7.444444444,6,1,post,cont
6B,5,9,9,7,9,9,9,5,7,7,5,9,5,7.222222222,8,0,post,cont
7B,2,9,8,7,7,6,8,5,7,9,5,7,8,6.888888889,8,2,post,cont
8B,5,9,8,8,9,6,6,6,9,9,3,9,3,6.666666667,5,2,post,cont
9B,5,7,8,5,5,3,7,7,5,5,4,7,8,5.666666667,5,1,post,cont
11B,5,9,9,7,7,7,7,5,8,8,7,8,6,7,7,0,post,cont
12B,9,9,9,9,3,5,5,5,6,7,1,5,6,4.777777778,8,3,post,cont
13B,2,9,9,8,6,5,5,6,4,9,4,9,5,5.888888889,7,1,post,cont
14B,4,7,8,8,6,6,7,8,6,5,6,8,6,6.444444444,5,2,post,cont
15B,5,9,9,7,8,8,8,5,6,8,5,7,5,6.666666667,7,0,post,cont
16B,3,9,9,3,9,8,7,3,5,9,5,8,6,6.666666667,7,0,post,cont
37B,5,9,7,5,9,6,5,4,6,9,1,9,6,6.111111111,6,1,post,cont
39B,2,9,9,9,7,7,8,5,6,9,5,9,9,7.222222222,7,2,post,cont
41B,6,9,9,7,8,4,7,4,9,8,3,4,6,5.888888889,8,0,post,cont
44B,1,9,9,7,7,8,9,7,5,9,1,9,5,6.666666667,8,1,post,cont
46B,7,6,6,5,7,7,6,4,5,6,4,7,6,5.777777778,5,1,post,cont
17A,4,9,9,6,7,6,7,5,7,9,5,7,6,6.555555556,7,1,followup,exp
21A,3,9,7,7,4,8,8,5,8,8,1,7,7,6.222222222,8,2,followup,exp
22A,4,9,9,9,8,9,8,8,9,8,8,9,8,8.333333333,8,2,followup,exp
23A,5,9,8,7,7,5,7,5,7,9,5,5,3,5.888888889,5,1,followup,exp
24A,5,9,9,7,5,5,7,7,7,8,1,9,3,5.777777778,6,2,followup,exp
25A,1,7,7,7,2,5,5,2,3,5,1,7,3,3.666666667,7,0,followup,exp
26A,1,9,9,8,9,3,9,7,9,9,5,9,9,7.666666667,8,0,followup,exp
27A,1,9,9,9,5,5,5,3,4,5,6,2,2,4.111111111,5,2.5,followup,exp
28A,1,9,9,7,9,7,9,7,5,7,5,7,5,6.777777778,8,0,followup,exp
29A,6,9,9,4,8,7,7,8,6,8,4,7,6,6.777777778,7,1,followup,exp
31A,8,9,9,7,9,7,3,1,7,8,1,6,4,5.111111111,6,1,followup,exp
1A,1,9,9,9,9,9,5,1,5,6,6,7,5,5.888888889,5,0,followup,exp
3A,7,9,8,3,8,4,4,9,5,7,6,7,3,5.888888889,5,0.5,followup,exp
4A,6,9,9,7,6,7,7,5,3,7,6,8,6,6.111111111,7,2,followup,exp
5A,3,7,7,7,5,5,5,5,5,3,5,3,7,4.777777778,3,0,followup,exp
6A,7,8,8,7,7,5,5,7,8,8,6,8,3,6.333333333,5,0,followup,exp
7A,3,9,9,8,5,7,7,5,9,7,7,9,6,6.888888889,4,0.5,followup,exp
8A,4,7,7,7,7,3,5,3,6,7,2,7,3,4.777777778,7,2,followup,exp
9A,4,9,9,7,7,8,7,8,7,7,4,8,4,6.666666667,5,0.5,followup,exp
10A,9,9,9,3,9,5,7,3,7,9,9,9,5,7,5,2,followup,exp
13A,3,9,9,8,9,5,7,9,7,8,1,9,8,7,7,1,followup,exp
15A,1,9,8,9,9,7,7,1,5,9,5,9,5,6.333333333,5,0,followup,exp
33A,2,3,5,9,9,3,6,5,4,9,5,8,5,6,4,0,followup,exp
34A,3,7,8,7,5,5,5,4,6,6,4,5,6,5.111111111,6,0,followup,exp
35A,2,8,8,8,9,7,7,9,6,9,5,8,6,7.333333333,7,2,followup,exp
36A,3,9,9,9,9,8,7,5,5,9,7,9,7,7.333333333,8,0.5,followup,exp
38A,7,7,7,7,7,7,5,7,5,9,5,9,7,6.777777778,7,1,followup,exp
40A,2,9,9,7,4,6,6,5,7,5,5,3,3,4.888888889,8,0,followup,exp
46A,2,9,9,5,5,6,7,3,5,7,5,7,3,5.333333333,6,0,followup,exp
18B,2,9,9,8,7,8,7,8,6,8,6,8,6,7.111111111,7,2,followup,cont
19B,3,7,7,7,6,5,5,7,6,7,7,7,5,6.111111111,4,0,followup,cont
20B,3,9,8,7,3,3,3,1,2,7,4,7,3,3.666666667,5,0,followup,cont
21B,7,7,7,7,6,7,7,8,5,9,5,9,6,6.888888889,5,0,followup,cont
22B,6,9,9,7,7,3,3,3,4,9,7,9,2,5.222222222,5,0.5,followup,cont
24B,4,7,8,7,5,7,5,4,5,5,3,5,3,4.666666667,7,0,followup,cont
26B,2,8,7,8,5,7,8,5,4,9,2,8,4,5.777777778,6,1.5,followup,cont
28B,7,9,8,7,9,8,7,9,7,9,6,9,3,7.444444444,7,0,followup,cont
30B,3,9,8,7,7,5,8,6,6,7,7,7,6,6.555555556,6,0,followup,cont
31B,5,7,7,7,5,4,7,1,7,5,1,7,1,4.222222222,5,0,followup,cont
32B,5,8,8,8,4,5,5,7,2,8,1,7,3,4.666666667,7,0.5,followup,cont
4B,2,9,9,8,7,5,6,3,4,7,4,7,4,5.222222222,6,0,followup,cont
5B,2,9,9,9,9,5,8,2,7,9,9,5,7,6.777777778,7,0.5,followup,cont
6B,5,9,9,7,7,7,7,1,5,7,7,7,7,6.111111111,7,0,followup,cont
7B,4,9,9,7,7,7,6,5,7,9,3,8,8,6.666666667,8,1,followup,cont
8B,7,6,5,8,6,5,6,4,8,7,2,8,4,5.555555556,5,0,followup,cont
9B,5,7,6,7,8,4,5,1,6,8,6,4,6,5.333333333,7,0,followup,cont
11B,6,8,7,5,7,7,7,6,7,7,7,8,6,6.888888889,6,0,followup,cont
12B,8,9,9,9,5,5,5,5,5,5,1,7,5,4.777777778,7,1,followup,cont
13B,3,9,9,7,6,5,6,7,5,9,2,9,6,6.111111111,8,0.5,followup,cont
14B,4,8,8,7,8,7,7,8,5,6,6,8,7,6.888888889,7,2,followup,cont
15B,7,9,9,6,6,7,7,1,3,5,3,8,4,4.888888889,7,0,followup,cont
16B,1,9,9,7,7,5,7,3,3,7,4,7,3,5.111111111,5,0,followup,cont
37B,5,9,9,6,7,7,7,5,7,9,4,9,5,6.666666667,6,0,followup,cont
39B,1,9,9,8,7,7,7,4,8,7,6,9,9,7.111111111,8,0,followup,cont
41B,3,9,9,9,8,4,4,6,5,6,3,7,5,5.333333333,8,0.5,followup,cont
44B,3,9,9,9,5,5,5,7,5,7,1,7,7,5.444444444,7,0.5,followup,cont
46B,6,7,6,5,5,5,6,7,6,7,5,7,4,5.777777778,5,0,followup,cont
